millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
87771298,22.32,54.75,202.00,25.32,45.41
87801346,22.36,54.48,202.00,25.31,45.42
87831394,22.39,54.54,205.00,25.34,45.38
87861443,22.38,54.51,206.00,25.37,45.29
87891491,22.40,54.56,208.00,25.37,45.32
87921540,22.43,54.39,208.00,25.38,45.28
87951588,22.44,54.43,209.00,25.37,45.20
87981636,22.50,54.22,210.00,25.44,45.23
88011683,22.51,54.47,211.00,25.41,45.24
88041732,22.52,54.43,213.00,25.42,45.23
88071779,22.56,54.02,215.00,25.48,45.14
88101830,22.57,54.37,217.00,25.46,45.22
88131877,22.61,53.99,220.00,25.49,45.20
88161926,22.63,54.09,223.00,25.51,45.17
88191973,22.65,54.11,227.00,25.54,45.17
88222021,22.66,54.18,228.00,25.52,45.14
88252069,22.67,53.92,230.00,25.57,45.09
88282118,22.64,53.97,231.00,25.58,45.02
88312165,22.65,54.00,232.00,25.58,44.98
88342213,22.66,53.93,233.00,25.59,44.96
88372260,22.67,54.10,233.00,25.59,45.10
88402310,22.70,54.00,236.00,25.58,45.06
88432357,22.69,53.86,238.00,25.61,45.03
88462405,22.71,53.92,241.00,25.62,44.94
88492455,22.66,53.74,241.00,25.64,44.90
88522504,22.66,54.06,239.00,25.65,44.85
88552552,22.66,53.87,239.00,25.66,44.83
88582599,22.68,53.78,238.00,25.64,44.85
88612647,22.69,53.85,240.00,25.70,44.81
88642695,22.67,54.09,241.00,25.68,44.82
88672745,22.71,53.93,243.00,25.69,44.77
88702793,22.70,53.82,246.00,25.70,44.79
88732841,22.70,53.81,247.00,25.72,44.77
88762889,22.67,53.78,251.00,25.72,44.76
88792937,22.67,53.93,251.00,25.72,44.77
88822984,22.67,53.80,253.00,25.70,44.72
88853036,22.70,53.76,256.00,25.73,44.67
88883083,22.73,53.96,258.00,25.70,44.80
88913131,22.75,53.93,261.00,25.70,44.81
88943178,22.79,53.98,265.00,25.72,44.73
88973227,22.84,53.86,269.00,25.75,44.87
89003275,22.87,53.90,276.00,25.75,44.89
89033322,22.88,53.37,287.00,25.76,44.91
89063370,22.89,53.57,287.00,25.78,44.72
89093417,22.89,53.50,284.00,25.76,44.77
89123466,22.92,53.42,284.00,25.80,44.77
89153513,22.93,53.24,285.00,25.80,44.68
89183561,22.89,53.33,286.00,25.83,44.63
89213608,22.90,53.12,285.00,25.83,44.58
89243660,22.85,53.14,282.00,25.83,44.42
89273707,22.84,53.31,278.00,25.85,44.45
89303755,22.82,53.26,272.00,25.86,44.36
89333803,22.83,53.27,267.00,25.87,44.38
89363851,22.80,52.99,266.00,25.85,44.25
89393898,22.74,53.25,263.00,25.85,44.22
89423946,22.74,52.91,256.00,25.86,44.08
89453995,22.70,53.09,251.00,25.86,44.09
89484044,22.68,53.13,247.00,25.86,44.07
89514092,22.69,53.11,242.00,25.86,44.05
89544140,22.68,52.90,236.00,25.85,43.96
89574189,22.66,52.98,234.00,25.83,43.97
89604238,22.67,52.95,233.00,25.85,43.89
89634286,22.66,52.74,231.00,25.83,43.86
89664334,22.66,52.79,229.00,25.85,43.83
89694383,22.64,52.97,229.00,25.83,43.83
89724430,22.64,52.83,228.00,25.83,43.86
89754478,22.69,52.71,225.00,25.82,43.79
89784525,22.64,52.85,224.00,25.83,43.76
89814574,22.67,52.92,222.00,25.80,43.74
89844622,22.64,52.82,220.00,25.82,43.76
89874670,22.66,52.75,217.00,25.83,43.70
89904717,22.66,52.47,215.00,25.83,43.64
89934766,22.65,52.30,215.00,25.82,43.64
89964813,22.64,52.75,214.00,25.83,43.60
89994864,22.66,52.61,213.00,25.82,43.56
90024915,22.69,52.53,212.00,25.82,43.56
90054963,22.71,52.39,212.00,25.82,43.56
90085011,22.69,52.53,213.00,25.83,43.55
90115058,22.71,52.46,214.00,25.83,43.50
90145107,22.71,52.41,214.00,25.83,43.43
90175155,22.72,52.14,214.00,25.85,43.39
90205203,22.72,52.20,213.00,25.86,43.33
90235250,22.75,51.79,211.00,25.86,43.25
90265298,22.77,52.16,212.00,25.83,43.30
90295348,22.77,51.70,212.00,25.83,43.06
90325397,22.78,51.72,213.00,25.86,43.17
90355447,22.81,51.95,213.00,25.86,43.19
90385496,22.80,51.82,211.00,25.86,43.19
90415543,22.79,51.67,207.00,25.87,42.97
90445591,22.80,51.73,207.00,25.86,42.92
90475639,22.80,51.73,206.00,25.89,42.89
90505687,22.81,51.55,205.00,25.86,42.86
90535735,22.82,51.75,205.00,25.87,42.85
90565782,22.83,51.53,204.00,25.87,42.82
90595830,22.86,51.63,203.00,25.87,43.05
90625879,22.89,51.22,204.00,25.86,42.81
90655927,22.88,51.19,204.00,25.89,42.82
90685974,22.87,50.98,204.00,25.90,42.70
90716022,22.91,51.11,203.00,25.90,42.69
90746073,22.89,50.82,203.00,25.90,42.62
90776121,22.89,50.47,204.00,25.92,42.52
90806168,22.90,50.70,203.00,25.90,42.45
90836216,22.90,51.16,201.00,25.92,42.36
90866264,22.91,50.68,201.00,25.89,42.40
90896312,22.90,50.28,202.00,25.93,42.26
90926360,22.89,50.23,201.00,25.92,42.07
90956408,22.85,50.16,200.00,25.95,42.03
90986457,22.85,50.18,201.00,25.92,41.78
91016504,22.84,50.13,199.00,25.93,41.76
91046552,22.84,50.18,199.00,25.93,41.82
91076599,22.79,49.87,198.00,25.92,41.70
91106653,22.80,49.93,200.00,25.90,41.63
91136700,22.82,50.19,200.00,25.93,41.72
91166748,22.85,50.52,201.00,25.92,41.83
91196796,22.85,49.72,201.00,25.93,41.71
91226845,22.81,49.69,202.00,25.90,41.52
91256892,22.84,49.85,201.00,25.92,41.49
91286940,22.84,49.57,201.00,25.93,41.44
91316987,22.84,49.86,200.00,25.95,41.38
91347036,22.86,49.48,201.00,25.95,41.34
